Item Usinagem;Item Blank;Item Cliente;Material;Descrição do material;Qtd de MP;Centro;Portal;Torno;Qtd no WH;Centro;Portal;Torno;OP Firme;OP Planejada;Priorizar?
8.2155.01865.P00;7.2155.02540.P00;14407545#P00-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;31,1; -   ; 0,10 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.01872.P00;7.2155.02541.P00;14406762#P00-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;32,9; -   ; 0,14 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.01942.P01;7.2155.02549.P01;14552833#P01-CORTE;5.0101.00399;CH 08,00x1500x4000 LQ PR A1018 SS50/A572 GR50;16,2; -   ; 0,05 ; -   ;3; -   ; 0,16 ; -   ;0;0;0
8.2155.01945.P01;7.2155.02551.P01;14552834#P01-CORTE;5.0101.00399;CH 08,00x1500x4000 LQ PR A1018 SS50/A572 GR50;16,2; -   ; 0,05 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.01955.P03;7.2155.02552.P03;11196149#P03-CORTE;5.0101.00399;CH 08,00x1500x4000 LQ PR A1018 SS50/A572 GR50;0,7; -   ; 0,05 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.01978.P03;7.2155.02558.P03;15127692F11#P03-CORT;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;63,1; -   ; 0,13 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02018.P02;7.2155.02571.P02;15037874F11#P02-CORT;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;67,9; -   ; 0,15 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02034.P04;7.2155.02575.P04;11194561#P04-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;4,9; -   ; 0,04 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02066.P01;7.2155.02584.P01;16936118#P01-CORTE;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;20,1; -   ; 0,08 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02070.P01;7.2155.02586.P01;54945696#P01-CORTE;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;4,9; -   ; 0,07 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02076.P01;7.2155.02952.P01;16231350F11#P01-CORT;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;22,4; 0,36 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02096.P04;7.2155.02587.P04;11121140#P04-CORTE;5.0101.00448;CH 40,00x2440x3000 CG PR A572 GR50;20,1; 0,53 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02128.P01;7.2155.02589.P01;16354990#P01-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;1,7; 0,09 ; -   ; -   ;0; -   ; -   ; -   ;147;0;0
8.2155.02133.P08;7.2155.02592.P08;16816579F11#P08-CORT;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;155,3; -   ; 0,23 ; -   ;0; -   ; -   ; -   ;0;4;0
8.2155.02134.P08;7.2155.02593.P08;16816580F11#P08-CORT;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;155,3; -   ; 0,23 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02135.P03;7.2155.02594.P03;16816720#P03-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;72,4; -   ; 0,41 ; -   ;0; -   ; -   ; -   ;31;31;0
8.2155.02140.P06;7.2155.02955.P06;16805162#P06-CORTE;5.0101.00371;CH 25,40x2100x6000 CG PR A572 GR50;6,3; 0,15 ; -   ; -   ;0; -   ; -   ; -   ;120;0;0
8.2155.02142.P01;7.2155.02596.P01;16654859F11#P01-CORT;5.0101.00370;CH 31,50x2100x6000 CG PR A572 GR50;66,2; -   ; 0,08 ; -   ;0; -   ; -   ; -   ;60;25;0
8.2155.02143.P01;7.2155.02597.P01;16654937F11#P01-CORT;5.0101.00370;CH 31,50x2100x6000 CG PR A572 GR50;66,2; -   ; 0,08 ; -   ;0; -   ; -   ; -   ;93;25;0
8.2155.02145.P02;7.2155.02990.P02;16842937F11#P02;5.0101.00448;CH 40,00x2440x3000 CG PR A572 GR50;1,4; 0,12 ; -   ; -   ;0; -   ; -   ; -   ;146;78;0
8.2155.02151.P00;7.2155.02598.P00;14624946#P00-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;31,7; -   ; 0,16 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02152.P00;7.2155.02599.P00;14624947#P00-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;31,7; -   ; 0,16 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02153.P00;7.2155.02600.P00;14624948#P00-CORTE;5.0101.00427;CH 09,50x1500x4000 LQ PR A1018 SS50/A572 GR50;25,5; -   ; 0,20 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02154.P00;7.2155.02601.P00;14624949#P00-CORTE;5.0101.00427;CH 09,50x1500x4000 LQ PR A1018 SS50/A572 GR50;25,5; -   ; 0,20 ; -   ;0; -   ; -   ; -   ;0;0;0
8.2155.02172.P02;7.2155.02603.P02;53836744#P02-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;23,7; -   ; 0,42 ; -   ;0; -   ; -   ; -   ;64;33;0
8.2155.02173.P01;7.2155.02604.P01;53862396#P01-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;43,8; -   ; 0,42 ; -   ;0; -   ; -   ; -   ;66;54;0
