Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
DB35,2026-05-21T12:25:23.803,2026-05-21T12:44:46.167,SQO260521121510347,8.6891.00397.00,19,0,1.82889,34.748909999999995,,1,19,0,,1,DOBRADEIRA
DB43,2026-05-21T12:30:41.98,2026-05-21T14:56:04.183,SQO260521122216624,7.0124.12066.Q00,10,0,,,74,7.1,10,0,,1,DOBRADEIRA
CTU28,2026-05-21T12:32:59.577,2026-05-21T13:26:48.787,SQO260521081602543,8.2155.02755.P06,4,0,13.5,54,,13.25,4,0,,1,USINAGEM
RB43,2026-05-21T12:33:52.7,2026-05-21T14:46:55.357,SQO260521121630108,7.0124.09925.01,1,0,100,100,,133,1,0,,1,ROBO DE SOLDA
CTU16,2026-05-21T12:35:22.53,2026-05-21T16:33:18.537,SQO260521121056795,8.2155.02520.P00,55,0,2,110,59,3.2363636363636363,55,0,,1,USINAGEM
CTU22,2026-05-21T12:43:18.17,2026-05-21T13:57:17.2,SQO260521114419134,8.7129.00276.H,20,0,4.3,86,60,0.65,20,0,,1,USINAGEM
RB30,2026-05-21T12:47:04.847,2026-05-21T14:12:11.25,SQO260521124657424,7.9113.01321.00,1,0,,,11,74,1,0,MOTOFIL,1,ROBO DE SOLDA
MD07,2026-05-21T12:51:51.667,2026-05-21T16:09:43.063,SQO260521125150418,8.0124.06758.04,8,0,16,128,,24.625,8,0,HELLER,1,USINAGEM
CTU28,2026-05-21T13:26:48.787,2026-05-21T15:06:51.82,SQO260521081602543,8.2155.02755.P06,4,0,13.5,54,18,20.5,4,0,,1,USINAGEM
RB51,2026-05-21T13:29:10.887,2026-05-21T14:31:43.943,SQO260521132230396,7.0124.10608.00,1,0,85.33,85.33,,62,1,0,,1,ROBO DE SOLDA
RB34,2026-05-21T13:40:24.307,2026-05-21T15:05:10.353,SQO260521134021340,8.0124.06646.Q07,1,0,95.75,95.75,,84,1,0,,1,ROBO DE SOLDA
CTU22,2026-05-21T13:57:17.2,2026-05-21T14:38:37.157,SQO260521114419134,8.7129.00276.H,6,0,4.3,25.799999999999997,,6.833333333333333,6,0,,1,USINAGEM
CTU12,2026-05-21T14:04:27.923,2026-05-21T14:05:13.853,SQO260520194713724,7.7366.00596.E02,4,0,103,412,,0,4,0,,1,USINAGEM
CTU12,2026-05-21T14:05:13.853,2026-05-21T16:54:50.533,SQO260520194713724,7.7366.00596.E02,1,0,103,103,14,155,1,0,,2,USINAGEM
RB40,2026-05-21T14:06:13.363,2026-05-21T16:10:19.02,SQO260521140612425,7.6891.00964.A,2,0,256.24,256.24,,248,2,0,,1,ROBO DE SOLDA
RB17,2026-05-21T14:07:01.367,2026-05-21T15:18:07.563,SQO260521140659095,7.7800.00181.B,1,0,51,51,,71,1,0,,1,ROBO DE SOLDA
